#Y134-11  
#Leaf 1

6 # number of measuremnts 

0 # time  

11 # number of data points 

    1.0000    4.7384   10.5167
    2.0000    5.9433    9.1397
    3.0000    6.1154   10.6396
    4.0000    5.8695   12.0412
    5.0000    7.1481   11.9674
    6.0000    7.1481   10.4921
    7.0000    7.3940    9.0906
    8.0000    8.3529    9.4102
    9.0000    7.6644   10.4183
   10.0000    8.3283   11.4756
   11.0000    8.3529   10.1970

2 # time 

27 # number of data points 

    1.0000    2.3641   10.3690
    2.0000    4.0568    8.3539
    3.0000    4.5404   10.6914
    4.0000    3.2507   12.6259
    5.0000    6.1121   13.3916
    6.0000    6.8779   11.0944
    7.0000    6.9585    8.2733
    8.0000    9.5781    8.7972
    9.0000    9.1348   11.2556
   10.0000    9.5781   13.7946
   11.0000   11.3917   11.6586
   12.0000    5.5076    8.1927
   13.0000    5.7091    9.4421
   14.0000    5.5076   11.4974
   15.0000    6.3136   12.4647
   16.0000    6.6764    9.8854
   17.0000    8.3287    8.5957
   18.0000    8.1675    9.8451
   19.0000    7.6436   11.8602
   20.0000    7.5630   13.7543
   21.0000    8.9736   12.7871
   22.0000    9.3766    9.8854
   23.0000   11.4320    9.3615
   24.0000   10.5856   10.4899
   25.0000   10.3841   12.5050
   26.0000   11.4320   13.0289
   27.0000   11.7947   10.3690

4 # time 

37 # number of data points 

    1.0000    5.7172   18.4813
    2.0000    7.1034   15.7090
    3.0000    8.0737   18.6199
    4.0000    6.8262   20.9764
    5.0000    9.6678   22.2932
    6.0000   11.4697   19.1051
    7.0000   10.7767   14.9467
    8.0000   15.0044   14.8774
    9.0000   15.4203   19.7289
   10.0000   14.6579   24.3725
   11.0000   19.4401   20.4219
   12.0000    8.7668   15.1546
   13.0000    9.5985   16.8873
   14.0000    9.5985   19.6596
   15.0000   10.5688   21.1150
   16.0000   11.1925   17.3724
   17.0000   13.0638   14.8774
   18.0000   13.4104   17.1645
   19.0000   12.9252   20.3526
   20.0000   11.8163   23.4022
   21.0000   14.7965   22.2239
   22.0000   15.3510   16.8180
   23.0000   18.5391   15.2239
   24.0000   17.7767   17.7190
   25.0000   17.1529   22.2239
   26.0000   18.6777   24.5804
   27.0000   19.9252   17.0952
   28.0000    8.2123   21.5309
   29.0000   16.9450   15.0160
   30.0000   16.5292   24.9269
   31.0000   17.3609   23.4715
   32.0000   17.4302   19.7982
   33.0000   18.4005   16.2635
   34.0000   19.9945   18.5506
   35.0000   19.3708   22.7091
   36.0000   21.6579   22.2239
   37.0000   21.8658   18.6893

6 # time

42 # number of data points 

    1.0000    4.0022   10.7541
    2.0000    4.8996    7.9337
    3.0000    6.2670   10.8395
    4.0000    4.9850   13.5317
    5.0000    8.1473   15.3693
    6.0000   10.4977   11.0532
    7.0000    8.7456    6.5662
    8.0000   13.1471    5.0278
    9.0000   15.2838   11.0959
   10.0000   13.6172   17.7624
   11.0000   21.0956   11.2241
   12.0000    6.7371    7.1645
   13.0000    7.8482    8.8311
   14.0000    8.1046   11.7369
   15.0000    9.3439   13.3608
   16.0000    9.4721    9.0875
   17.0000   10.9677    5.7542
   18.0000   12.0361    8.4892
   19.0000   12.0361   12.4207
   20.0000   10.2413   16.4376
   21.0000   14.4291   14.3864
   22.0000   14.3864    7.6345
   23.0000   17.2496    3.9167
   24.0000   17.8051    7.7200
   25.0000   17.4632   14.1300
   26.0000   18.2324   18.4461
   27.0000   20.0272    5.6688
   28.0000    6.6517   14.2582
   29.0000   15.2411    4.2586
   30.0000   16.1812   18.4461
   31.0000   17.8051   15.9675
   32.0000   17.8906   10.7968
   33.0000   17.7196    5.5833
   34.0000   21.0956    8.1473
   35.0000   21.0101   14.8565
   36.0000   24.3006   15.4975
   37.0000   24.9416    8.1046
   38.0000   19.8563   17.9760
   39.0000   22.9758   13.5745
   40.0000   23.0613   11.3523
   41.0000   23.2750    8.2328
   42.0000   23.9160    6.3098

9 # time 

54 # number of data points

    1.0000    9.8150   20.2523
    2.0000    9.5074   17.6382
    3.0000   10.9683   19.9448
    4.0000   10.2763   23.0202
    5.0000   12.4291   24.9424
    6.0000   14.3513   20.0217
    7.0000   11.3527   15.1778
    8.0000   15.7352   11.6410
    9.0000   20.3484   19.9448
   10.0000   17.9649   28.6330
   11.0000   30.9588   19.3297
   12.0000   10.0456   16.4849
   13.0000   10.9683   18.0226
   14.0000   12.1216   21.0212
   15.0000   13.6593   22.9434
   16.0000   12.8135   18.0226
   17.0000   12.9673   13.7170
   18.0000   15.3508   16.6386
   19.0000   16.3503   21.9438
   20.0000   14.4282   26.5570
   21.0000   19.5796   24.4811
   22.0000   18.8107   15.2547
   23.0000   20.9635    9.1806
   24.0000   23.9621   14.5627
   25.0000   23.7314   24.1735
   26.0000   24.5772   30.4783
   27.0000   26.0380   10.7184
   28.0000   11.1220   23.8660
   29.0000   18.2725   10.2571
   30.0000   21.7324   30.1707
   31.0000   24.4234   26.8646
   32.0000   24.6541   19.0990
   33.0000   22.8088   11.3335
   34.0000   28.9597   14.1783
   35.0000   29.8824   25.7882
   36.0000   35.8795   28.2485
   37.0000   35.1107   11.3335
   38.0000   27.2682   30.5551
   39.0000   34.1111   23.7122
   40.0000   35.8795   19.2528
   41.0000   33.2654   13.3325
   42.0000   31.6508    9.5651
   43.0000   26.6531    8.4118
   44.0000   29.4979   23.0971
   45.0000   31.5739   30.5551
   46.0000   34.4187   26.0957
   47.0000   33.3423   21.1750
   48.0000   33.6498   16.7155
   49.0000   35.8795   15.4085
   50.0000   37.1097   23.2509
   51.0000   39.8776   22.7896
   52.0000   38.4937   20.6368
   53.0000   38.4937   18.0226
   54.0000   38.5706   13.7170 

11 # time 

54 # number of data points 

    1.0000    7.1246   20.9161
    2.0000    7.1246   18.1657
    3.0000    9.0892   20.9947
    4.0000    7.5961   24.3738
    5.0000   10.8180   26.5742
    6.0000   14.1186   21.0733
    7.0000   10.7394   15.5724
    8.0000   16.3975   11.8003
    9.0000   21.6627   21.2305
   10.0000   17.9692   30.6606
   11.0000   33.3717   20.9161
   12.0000    8.5391   16.9083
   13.0000   10.1893   18.8729
   14.0000   10.9752   22.1735
   15.0000   12.7040   24.2167
   16.0000   12.3897   18.8729
   17.0000   13.1755   14.0793
   18.0000   15.6903   17.4584
   19.0000   16.0832   23.1951
   20.0000   13.4113   28.2245
   21.0000   20.0910   26.1027
   22.0000   19.9338   16.2010
   23.0000   22.2913    9.5214
   24.0000   25.4347   15.5724
   25.0000   24.8060   25.9455
   26.0000   25.0418   33.4110
   27.0000   27.7922   10.7787
   28.0000    9.0892   25.2383
   29.0000   19.1480   10.6216
   30.0000   21.5055   32.3894
   31.0000   25.4347   28.9317
   32.0000   26.2206   20.5232
   33.0000   24.3345   12.1147
   34.0000   31.2500   14.7865
   35.0000   32.0358   28.3030
   36.0000   38.3226   31.9179
   37.0000   39.1870   10.1501
   38.0000   28.2638   33.6468
   39.0000   36.6723   26.3384
   40.0000   39.8157   20.2874
   41.0000   36.9080   12.8219
   42.0000   34.7077    7.9497
   43.0000   28.7353    7.8711
   44.0000   31.4071   24.9239
   45.0000   32.9002   33.8040
   46.0000   36.9080   28.8531
   47.0000   36.2008   22.8021
   48.0000   37.0652   17.5370
   49.0000   40.2872   15.5724
   50.0000   40.6015   26.0241
   51.0000   43.4305   25.8669
   52.0000   43.3520   22.0949
   53.0000   43.9020   18.6372
   54.0000   43.8235   13.2148


