#Y134-8 #only one leaf on the plant 
#Leaf 1

7 # number of measuremnts 

0 # time  

6 # number of data points 

    1.0000    7.6799    6.5144
    2.0000    8.2998    5.6465
    3.0000    8.5726    6.5888
    4.0000    8.5974    7.5063
    5.0000    9.3165    7.5311
    6.0000    9.0685    5.8201

2 # time 

12 # number of data points 

    1.0000    6.6973    7.8292
    2.0000    7.9778    6.7621
    3.0000    7.9168    8.1950
    4.0000    7.4595    9.7804
    5.0000   10.2034    9.9023
    6.0000    9.6546    6.4877
    7.0000    9.0754    8.0426
    8.0000    9.1668    9.9938
    9.0000   10.4778    8.1340
   10.0000   11.1790    9.5365
   11.0000   11.4229    7.3109
   12.0000   11.7583    8.0731

4 # time 

25 # number of data points

    1.0000    5.5989   11.9980
    2.0000    6.6366   10.1148
    3.0000    7.6358   12.1133
    4.0000    6.3676   14.1118
    5.0000   11.3639   15.3033
    6.0000    9.1347    9.0387
    7.0000    9.9034   12.1133
    8.0000    9.1347   15.1111
    9.0000   13.4392   11.9211
   10.0000   13.4008   15.3417
   11.0000   13.9004    8.3084
   12.0000   16.7829   11.8443
   13.0000   11.2870    8.5006
   14.0000   11.5176   10.1148
   15.0000   11.5945   11.8058
   16.0000   11.6329   13.4200
   17.0000   13.3239   14.0350
   18.0000   13.4777    9.8073
   19.0000   17.5516    9.9995
   20.0000   16.4370   10.2301
   21.0000   15.3993   11.8443
   22.0000   15.5531   13.5353
   23.0000   15.8605   14.8036
   24.0000   17.8975   13.7275
   25.0000   18.8199   10.8066

6 # time 

37 # number of data points 

    1.0000    7.1631   13.9237
    2.0000    7.6966   11.6924
    3.0000    9.5399   14.0208
    4.0000    7.9877   16.3976
    5.0000   13.4690   18.7744
    6.0000   10.4615   10.1402
    7.0000   12.3533   13.9237
    8.0000   10.7526   18.0468
    9.0000   17.0585   13.8267
   10.0000   16.3309   18.9200
   11.0000   16.5249    8.4424
   12.0000   23.0734   13.4387
   13.0000   12.9354    8.9760
   14.0000   14.1966   11.3529
   15.0000   14.7787   13.7297
   16.0000   14.4391   15.8640
   17.0000   16.5734   16.9312
   18.0000   16.8645   10.6253
   19.0000   23.3644    9.3156
   20.0000   21.4727   10.6738
   21.0000   20.3570   13.7782
   22.0000   20.2600   16.3976
   23.0000   19.8234   19.5991
   24.0000   23.6555   18.7744
   25.0000   26.1778   10.9648
   26.0000   20.2600    8.4424
   27.0000   19.4839    9.2671
   28.0000   19.1443   11.8864
   29.0000   18.6592   14.9909
   30.0000   18.6592   17.5618
   31.0000   18.7563   19.4535
   32.0000   23.3644   17.2222
   33.0000   23.2674   15.0394
   34.0000   23.8495   11.3529
   35.0000   25.5473   10.2372
   36.0000   25.4017   13.7297
   37.0000   26.1778   16.1551

9 # time 

46 # number of data points 

    1.0000    5.6900   18.3418
    2.0000    6.4043   15.4132
    3.0000    8.4757   18.4846
    4.0000    5.9757   21.0561
    5.0000   12.6900   25.2704
    6.0000    9.5471   13.2704
    7.0000   11.9757   18.6989
    8.0000    9.3329   23.6275
    9.0000   18.4757   19.1989
   10.0000   16.4757   26.6989
   11.0000   16.9043   10.3418
   12.0000   28.7614   19.1275
   13.0000   12.3329   11.9846
   14.0000   14.5471   15.6989
   15.0000   14.7614   18.9132
   16.0000   14.5471   21.7704
   17.0000   16.9757   23.3418
   18.0000   18.1186   15.1989
   19.0000   26.8329    9.3418
   20.0000   25.2614   13.6275
   21.0000   23.6186   19.4132
   22.0000   22.9043   24.1989
   23.0000   20.5471   29.6275
   24.0000   26.9043   30.8418
   25.0000   34.1186   11.9846
   26.0000   21.5471    9.1989
   27.0000   21.9043   12.5561
   28.0000   21.6900   16.0561
   29.0000   20.5471   21.1989
   30.0000   19.9757   25.0561
   31.0000   19.0471   28.7704
   32.0000   28.2614   26.6275
   33.0000   28.9043   22.6989
   34.0000   29.4757   14.6275
   35.0000   31.7614   10.9132
   36.0000   33.8329   21.2704
   37.0000   34.4043   27.6275
   38.0000   23.4757   30.6989
   39.0000   23.6186   27.4132
   40.0000   29.9043   30.1275
   41.0000   32.4043   29.1275
   42.0000   31.0471   25.6989
   43.0000   31.6900   21.9132
   44.0000   32.1900   17.8418
   45.0000   33.9757   16.1989
   46.0000   34.1186   24.3418

11 # time 

51 # number of data points 

    1.0000    7.1244   20.0015
    2.0000    7.0382   17.0705
    3.0000    8.6761   20.0015
    4.0000    7.0382   22.7602
    5.0000   11.7796   27.8464
    6.0000    9.2796   14.6567
    7.0000   11.6933   20.5188
    8.0000    9.1933   25.6912
    9.0000   18.3313   20.9498
   10.0000   15.7451   29.7429
   11.0000   16.5209    9.6567
   12.0000   30.8313   20.4326
   13.0000   11.9520   12.2429
   14.0000   14.0209   16.8119
   15.0000   14.7106   20.8636
   16.0000   14.1071   23.7946
   17.0000   17.1244   25.8636
   18.0000   17.7278   15.3464
   19.0000   28.6761    7.6740
   20.0000   26.6071   13.7084
   21.0000   24.7968   20.6050
   22.0000   24.2796   26.9843
   23.0000   20.0554   32.9326
   24.0000   27.1244   34.5705
   25.0000   37.8140   11.5533
   26.0000   22.0382    7.5015
   27.0000   22.3830   11.8981
   28.0000   22.2968   17.2429
   29.0000   21.5209   22.9326
   30.0000   20.6589   27.6740
   31.0000   18.6761   31.7257
   32.0000   29.6244   30.0015
   33.0000   30.8313   24.7429
   34.0000   31.9520   14.6567
   35.0000   35.0554    9.9153
   36.0000   36.9520   22.8464
   37.0000   36.0899   31.7257
   38.0000   23.5037   34.2257
   39.0000   24.3658   30.7774
   40.0000   30.5727   34.0533
   41.0000   33.3313   33.2774
   42.0000   32.6416   28.7946
   43.0000   33.9347   23.9671
   44.0000   35.4002   18.5360
   45.0000   37.2968   15.9498
   46.0000   41.4347   14.8291
   47.0000   41.0899   17.0705
   48.0000   38.9347   18.7946
   49.0000   39.2796   21.8119
   50.0000   40.8313   23.6222
   51.0000   40.6589   25.6912

13 # time

51 # number of data points 

    1.0000   10.3963   23.4512
    2.0000   10.5736   20.5271
    3.0000   11.5482   23.4512
    4.0000   10.1305   25.8436
    5.0000   13.9406   31.1600
    6.0000   12.8773   17.8689
    7.0000   14.2951   23.5398
    8.0000   11.5482   28.7676
    9.0000   20.2318   24.0714
   10.0000   17.3963   33.2866
   11.0000   19.1685   12.8183
   12.0000   34.3204   23.8942
   13.0000   15.0039   15.4765
   14.0000   16.6875   19.8183
   15.0000   16.8647   23.7170
   16.0000   16.1558   26.9955
   17.0000   19.1685   29.1221
   18.0000   19.8773   18.1347
   19.0000   31.6622   10.0714
   20.0000   29.4470   16.6284
   21.0000   27.4090   24.1600
   22.0000   26.2571   30.1854
   23.0000   21.9153   36.8309
   24.0000   29.3584   39.8436
   25.0000   41.3204   13.8816
   26.0000   24.3963   10.2487
   27.0000   24.7508   14.6790
   28.0000   24.2191   20.2613
   29.0000   23.4217   26.1094
   30.0000   22.4470   31.0714
   31.0000   20.2318   35.4132
   32.0000   32.4596   34.7930
   33.0000   34.4976   28.8563
   34.0000   35.6495   17.5145
   35.0000   38.1305   11.6664
   36.0000   41.8520   27.0841
   37.0000   40.1685   37.9828
   38.0000   25.3710   38.8689
   39.0000   26.2571   34.9702
   40.0000   33.5229   39.7550
   41.0000   37.0672   39.3119
   42.0000   36.4470   33.9069
   43.0000   38.3963   28.5018
   44.0000   39.9913   22.2993
   45.0000   42.5609   19.5525
   46.0000   47.2571   17.8689
   47.0000   47.4343   21.1474
   48.0000   45.0419   23.1854
   49.0000   45.3077   26.3752
   50.0000   46.7254   28.7676
   51.0000   46.5482   30.9828
