#Y134-9 #only one leaf on the plant 
#Leaf 1

7 # number of measuremnts 

0 # time  

7 # number of data points 

    1.0000    7.6840    7.2921
    2.0000    8.5168    6.1654
    3.0000    8.6882    6.9002
    4.0000    8.9087    7.8799
    5.0000    9.5945    6.0674
    6.0000    9.7170    7.2676
    7.0000   10.2558    6.3368

2 # time 

11 # number of data points 

    1.0000    6.2256    8.2250
    2.0000    7.7115    6.6517
    3.0000    7.9155    8.1376
    4.0000    7.7115    9.8566
    5.0000   10.2463    6.4478
    6.0000   10.3046   10.0023
    7.0000    9.3140    8.3416
    8.0000   11.6739    6.8557
    9.0000   10.7416    8.2542
   10.0000   11.6739    9.0700
   11.0000   11.7904    8.1085

4 # time 

29 # number of data points 

    1.0000    7.4151   12.5173
    2.0000    9.3136   10.1648
    3.0000   10.0152   12.0633
    4.0000    9.0247   14.6221
    5.0000   13.4407    9.0505
    6.0000   13.6884   15.2412
    7.0000   12.7391   12.1046
    8.0000   17.1552    8.8029
    9.0000   16.2885   11.7331
   10.0000   17.8568   14.6221
   11.0000   19.1362   11.0315
   12.0000    9.2723   10.8664
   13.0000    9.3549   13.4253
   14.0000   11.5010    9.5045
   15.0000   11.4597   10.5363
   16.0000   11.0057   13.0538
   17.0000   11.0057   14.9523
   18.0000   12.7391   13.2189
   19.0000   12.9868   10.7839
   20.0000   15.6694    8.8441
   21.0000   14.7202    9.7934
   22.0000   14.2249   11.6919
   23.0000   14.9265   13.7967
   24.0000   15.6281   15.3238
   25.0000   16.9488   13.5491
   26.0000   16.6599    9.8759
   27.0000   18.4759    9.7521
   28.0000   18.1044   12.4760
   29.0000   19.7140   12.8887

6 # time 

53 # number of data points 

    1.0000    3.5399   11.5730
    2.0000    5.0235    8.6838
    3.0000    6.4291   11.1436
    4.0000    4.9064   13.6814
    5.0000    9.9430    6.9659
    6.0000    9.9430   14.8527
    7.0000    9.7087   11.1826
    8.0000   15.2138    5.5604
    9.0000   14.7844   11.2607
   10.0000   16.2290   16.6877
   11.0000   20.0943   10.9874
   12.0000    5.5311    9.6209
   13.0000    5.5701   12.5882
   14.0000    7.4052    7.6687
   15.0000    7.8346    9.0743
   16.0000    7.7956   12.1587
   17.0000    7.2490   14.2280
   18.0000    9.7868   12.5101
   19.0000   10.0601    9.6599
   20.0000   12.5589    5.8727
   21.0000   12.2465    8.2544
   22.0000   11.8952   11.1826
   23.0000   12.7541   14.1499
   24.0000   12.5589   15.9850
   25.0000   15.5262   14.4623
   26.0000   15.0186    8.5667
   27.0000   18.0250    8.5667
   28.0000   18.2983   13.1348
   29.0000   20.7190   15.4774
   30.0000   13.8083   16.4144
   31.0000   13.8083   14.8136
   32.0000   13.4959   12.5101
   33.0000   13.5350    9.3476
   34.0000   13.7302    7.2002
   35.0000   14.0035    5.6384
   36.0000   18.6887    5.4823
   37.0000   17.3222    6.9269
   38.0000   16.5413    9.4647
   39.0000   16.6194   12.3930
   40.0000   17.7907   14.7746
   41.0000   19.0401   16.3754
   42.0000   21.7731   14.6575
   43.0000   20.1333   13.6423
   44.0000   19.1182   12.0806
   45.0000   18.7278    9.9723
   46.0000   19.8991    8.2153
   47.0000   20.9532    6.8097
   48.0000   21.9684    7.7858
   49.0000   20.9923    8.9571
   50.0000   21.1094   12.9396
   51.0000   22.6321   13.6033
   52.0000   22.0074   10.6750
   53.0000   22.7102    9.2695

9 # time 

62 # number of data points 

    1.0000    5.6529   20.5502
    2.0000    6.8015   17.1046
    3.0000    8.9634   20.2124
    4.0000    6.7339   23.5905
    5.0000   12.4766   13.5238
    6.0000   12.3415   26.2929
    7.0000   13.0847   20.3475
    8.0000   19.7057   10.1458
    9.0000   20.5164   20.1448
   10.0000   19.9084   29.7386
   11.0000   31.1236   19.8070
   12.0000    7.8149   18.1856
   13.0000    7.6798   21.9014
   14.0000    9.4364   15.1453
   15.0000   10.6525   17.4424
   16.0000   10.2471   21.7663
   17.0000    9.5715   25.0768
   18.0000   13.0171   22.1717
   19.0000   13.2874   18.0504
   20.0000   15.5844   11.4294
   21.0000   16.5979   16.0912
   22.0000   16.3952   20.2124
   23.0000   16.5979   23.8607
   24.0000   15.1115   28.0495
   25.0000   20.7867   25.0768
   26.0000   21.3947   16.2938
   27.0000   26.4618   15.3480
   28.0000   26.0565   23.5905
   29.0000   27.8131   30.0764
   30.0000   16.8006   28.7251
   31.0000   18.2869   25.2119
   32.0000   18.6247   21.9690
   33.0000   18.7598   17.5099
   34.0000   18.5572   13.8616
   35.0000   17.6113   10.6862
   36.0000   24.9755    8.5918
   37.0000   24.6377   12.9158
   38.0000   24.1647   17.3748
   39.0000   23.5567   21.9014
   40.0000   24.0972   26.3605
   41.0000   24.2999   30.5493
   42.0000   30.4480   29.4683
   43.0000   28.8265   26.0227
   44.0000   28.0833   21.7663
   45.0000   28.0157   18.1180
   46.0000   29.7723   14.1994
   47.0000   30.1777    9.0648
   48.0000   32.6099    9.9431
   49.0000   32.1370   14.8075
   50.0000   31.3938   24.6039
   51.0000   33.0153   28.5900
   52.0000   35.3124   18.5234
   53.0000   35.5826   12.3753
   54.0000   28.2184   11.9024
   55.0000   25.2457   19.6719
