#Y134-10 
#Leaf 1

6 # number of measuremnts 

0 # time  

12 # number of data points

    1.0000    7.1980    8.9500
    2.0000    7.4448    7.9136
    3.0000    8.5552    7.4201
    4.0000    8.2344    8.8019
    5.0000    8.4811   10.0603
    6.0000    9.4188   10.1590
    7.0000    9.1720    8.6045
    8.0000    9.6162    7.4941
    9.0000   10.3318    7.8149
   10.0000    9.8876    8.7279
   11.0000   10.3564    9.7642
   12.0000   10.7019    8.8266

2 # time

28 # number of  data points

    1.0000    3.9116   11.7220
    2.0000    4.0954   10.4356
    3.0000    5.7800    9.5167
    4.0000    5.3818   11.4770
    5.0000    5.7494   13.4985
    6.0000    7.7402   13.9885
    7.0000    7.1583   11.1094
    8.0000    7.8934    9.2104
    9.0000   10.4356    9.4861
   10.0000    9.7311   11.4157
   11.0000    9.9762   13.7129
   12.0000   11.9977   11.6301
   13.0000    7.1277    9.7924
   14.0000    6.3007   11.2319
   15.0000    6.5457   12.5184
   16.0000    7.4646   12.7021
   17.0000    7.7709   10.1293
   18.0000    9.4248    9.1185
   19.0000    8.7816    9.9762
   20.0000    8.3835   11.3545
   21.0000    8.4447   12.6102
   22.0000    8.9654   13.9579
   23.0000    9.8536   12.6102
   24.0000    9.8230   10.3131
   25.0000   11.8751   10.2824
   26.0000   11.1094   10.7419
   27.0000   10.9869   12.0283
   28.0000   11.5382   13.1003
 
4 # time 

38 # number of data points

    1.0000    4.7235   21.0220
    2.0000    4.3069   19.8244
    3.0000    5.6608   17.7415
    4.0000    6.6502   20.7096
    5.0000    6.8064   23.4694
    6.0000   10.6597   23.6777
    7.0000    9.3579   19.7202
    8.0000    8.8372   16.3356
    9.0000   13.3675   14.7734
   10.0000   14.7213   18.9912
   11.0000   15.1900   23.9381
   12.0000   20.6055   18.4705
   13.0000    7.7958   17.7936
   14.0000    8.0561   19.9285
   15.0000    8.5248   21.6469
   16.0000   10.2952   21.8031
   17.0000    9.5141   17.7936
   18.0000   10.9721   15.3983
   19.0000   11.3887   16.9084
   20.0000   11.8053   19.3557
   21.0000   12.1698   21.4386
   22.0000   12.6905   23.7298
   23.0000   15.0858   21.3345
   24.0000   14.2006   16.7521
   25.0000   18.2102   14.6172
   26.0000   17.4812   16.8563
   27.0000   17.7415   19.8244
   28.0000   18.8350   22.7404
   29.0000   17.3249   23.4174
   30.0000   17.0646   21.8552
   31.0000   16.3876   18.9392
   32.0000   16.1273   16.6480
   33.0000   15.8669   15.1900
   34.0000   16.0231   14.2006
   35.0000   19.5120   17.1687
   36.0000   19.6161   19.5640
   37.0000   21.0220   20.2410
   38.0000   20.8138   16.1273

6 # time 

44 # number of data points

    1.0000    3.5858   10.9293
    2.0000    3.4658    9.4896
    3.0000    5.3854    7.2900
    4.0000    5.7853   10.7693
    5.0000    5.9453   13.7687
    6.0000    9.8645   14.8885
    7.0000    8.7847    9.8895
    8.0000    8.8247    6.0103
    9.0000   13.1838    4.3306
   10.0000   14.4236    9.8895
   11.0000   14.3836   16.4882
   12.0000   21.8621    9.8095
   13.0000    7.4650    7.5300
   14.0000    7.3050    9.8495
   15.0000    7.9049   11.9291
   16.0000    9.5046   12.3690
   17.0000    9.0247    7.8899
   18.0000   10.9443    5.1304
   19.0000   10.8243    6.8901
   20.0000   11.2242    9.7695
   21.0000   11.3042   12.6090
   22.0000   11.7841   15.6084
   23.0000   14.7035   12.7689
   24.0000   14.0237    6.9301
   25.0000   19.0227    3.4108
   26.0000   18.0629    7.1300
   27.0000   17.9829   11.3692
   28.0000   19.1826   16.2882
   29.0000   17.0231   16.7281
   30.0000   16.8631   13.8087
   31.0000   16.5032   10.0095
   32.0000   15.9833    6.6102
   33.0000   15.7833    4.6905
   34.0000   16.2232    3.4108
   35.0000   20.5424    7.8499
   36.0000   20.1824   11.5292
   37.0000   23.1418   13.5688
   38.0000   23.1818    5.7703
   39.0000    8.1448   14.4486
   40.0000    7.1450    6.2902
   41.0000   21.3822   15.2484
   42.0000   20.3824   13.2088
   43.0000   20.9823    4.1306
   44.0000   23.7817   11.4092

9 # time 

70 # number of data points

    1.0000    8.4852   20.5392
    2.0000    8.0597   19.0502
    3.0000    9.2651   16.4975
    4.0000   10.6123   20.3974
    5.0000    9.7615   23.9427
    6.0000   13.8740   26.2117
    7.0000   14.2286   19.3338
    8.0000   13.0941   14.0158
    9.0000   19.4047   10.6833
   10.0000   22.5245   19.0502
   11.0000   20.5392   29.1897
   12.0000   38.0529   19.6883
   13.0000   11.9596   16.2139
   14.0000   12.3141   19.2629
   15.0000   12.6686   22.2409
   16.0000   14.5831   22.8082
   17.0000   14.6540   16.7103
   18.0000   15.7885   12.3850
   19.0000   17.2775   15.4340
   20.0000   17.7029   19.1211
   21.0000   17.9157   22.8082
   22.0000   16.9939   27.6298
   23.0000   23.0209   24.0845
   24.0000   22.3827   14.4413
   25.0000   27.9134    7.7052
   26.0000   29.5442   14.2995
   27.0000   29.7570   21.5319
   28.0000   28.8352   30.9624
   29.0000   24.6517   30.6787
   30.0000   26.4953   25.8571
   31.0000   26.8498   19.1211
   32.0000   26.2826   13.5904
   33.0000   24.5808   10.5414
   34.0000   23.4463    8.2725
   35.0000   33.5150   16.0721
   36.0000   33.9404   22.5245
   37.0000   37.9820   28.6225
   38.0000   36.3512   10.4705
   39.0000   12.0305   25.2899
   40.0000   11.3923   14.8667
   41.0000   33.5859   30.1824
   42.0000   33.6568   25.2899
   43.0000   31.2460    8.3434
   44.0000   41.1019   24.3681
   45.0000   29.6860   25.9989
   46.0000   29.9697   18.1284
   47.0000   29.1188   10.7542
   48.0000   29.9697    7.9179
   49.0000   30.6787   10.7542
   50.0000   31.3169   13.3777
   51.0000   32.0259   16.2848
   52.0000   31.9550   20.2556
   53.0000   32.0968   23.5172
   54.0000   31.6714   27.3461
   55.0000   31.3169   31.1042
   56.0000   32.0968   12.1723
   57.0000   34.2240   13.3068
   58.0000   39.5420   12.3141
   59.0000   38.1948   13.7322
   60.0000   36.3512   16.1430
   61.0000   36.2094   19.4756
   62.0000   35.8549   25.1481
   63.0000   40.7474   26.7789
   64.0000   38.4784   23.5881
   65.0000   39.0456   18.1993
   66.0000   39.9674   16.4266
   67.0000   40.9601   14.1576
   68.0000   39.5420   21.9573
   69.0000   41.0310   20.6101
   70.0000   41.8819   18.0575

11 # time 

70 # number of data points 

    1.0000    2.3400   18.5212
    2.0000    2.0025   17.0364
    3.0000    3.1499   14.4042
    4.0000    3.8923   18.4537
    5.0000    3.3524   22.0983
    6.0000    7.4019   25.0005
    7.0000    7.8068   17.7113
    8.0000    7.1319   12.1770
    9.0000   14.2861    9.6123
   10.0000   17.1882   18.5887
   11.0000   13.7461   28.5775
   12.0000   36.6260   19.3986
   13.0000    5.9171   14.4717
   14.0000    5.7146   17.2389
   15.0000    5.9846   20.3435
   16.0000    8.1443   21.2884
   17.0000    8.5493   15.0791
   18.0000   10.5065   10.6921
   19.0000   11.3839   14.2017
   20.0000   11.7214   17.8463
   21.0000   11.4514   21.8283
   22.0000   10.1691   26.3503
   23.0000   16.7833   23.5156
   24.0000   17.2557   14.1342
   25.0000   23.9375    6.3726
   26.0000   25.0173   14.3367
   27.0000   24.4774   21.6933
   28.0000   22.3176   31.4122
   29.0000   17.6607   30.6698
   30.0000   20.4279   25.8779
   31.0000   21.6427   19.0612
   32.0000   20.9678   13.7968
   33.0000   19.7529   10.3547
   34.0000   18.8081    7.4525
   35.0000   30.8217   14.8766
   36.0000   29.7418   22.7057
   37.0000   34.2638   30.8048
   38.0000   35.1411    7.9250
   39.0000    5.6471   23.7856
   40.0000    5.3771   12.9869
   41.0000   28.1895   31.6147
   42.0000   28.7969   26.2153
   43.0000   28.0545    6.0352
   44.0000   39.7306   25.0680
   45.0000   24.0049   26.2828
   46.0000   24.6799   18.1163
   47.0000   24.8149   10.4222
   48.0000   26.5022    6.1027
   49.0000   27.5145    9.4098
   50.0000   27.6495   12.3119
   51.0000   27.9870   16.0915
   52.0000   27.3796   20.4785
   53.0000   27.0421   24.2580
   54.0000   26.1647   28.2401
   55.0000   25.4223   32.6271
   56.0000   29.8768   10.4222
   57.0000   32.7789   11.2996
   58.0000   39.5281    9.2748
   59.0000   38.1108   11.4345
   60.0000   35.8161   14.6067
   61.0000   33.9938   18.7237
   62.0000   32.1040   26.3503
   63.0000   38.3808   28.1051
   64.0000   36.8285   24.3930
   65.0000   39.5281   17.2389
   66.0000   41.1479   14.8091
   67.0000   41.9579   11.7045
   68.0000   39.1907   22.3008
   69.0000   43.1052   20.2085
   70.0000   43.9826   16.9014





