#Y134-12  
#Leaf 2

6 # number of measuremnts 

0 # time  

8 # number of data points

    1.0000   17.1384   12.4451
    2.0000   16.3102   10.6353
    3.0000   16.2181   11.7089
    4.0000   15.7273   13.2733
    5.0000   14.4390   12.5065
    6.0000   15.0525   11.2488
    7.0000   14.7764   10.0525
    8.0000   13.8562   10.8807

2 # time 

19 # number of data points 

    1.0000   21.3262   13.4135
    2.0000   20.2367   11.1971
    3.0000   19.8235   12.9252
    4.0000   19.2975   14.6908
    5.0000   16.1419   14.2776
    6.0000   17.1186   12.3616
    7.0000   17.4943   10.4833
    8.0000   14.1884   12.0611
    9.0000   20.0865   12.0611
   10.0000   19.5605   14.0146
   11.0000   17.9075   14.6533
   12.0000   18.4335   13.3384
   13.0000   18.6589   11.8357
   14.0000   19.0721   10.8589
   15.0000   17.4192   11.6103
   16.0000   16.6678   13.7516
   17.0000   15.2778   13.5262
   18.0000   15.6159   12.0235
   19.0000   15.6911   10.8965

4 # time 

24 # number of data points 

    1.0000   31.2254   17.5836
    2.0000   30.5665   14.4832
    3.0000   29.2488   16.1496
    4.0000   29.0551   18.8237
    5.0000   23.7844   18.6300
    6.0000   25.2571   14.0956
    7.0000   26.9623   11.7703
    8.0000   19.6376   12.3129
    9.0000   29.9464   15.1808
   10.0000   28.8225   17.6223
   11.0000   26.9623   19.2500
   12.0000   27.2336   16.1884
   13.0000   28.2025   13.9794
   14.0000   29.1713   13.3205
   15.0000   26.5747   12.8942
   16.0000   24.2882   16.3822
   17.0000   20.2189   16.3047
   18.0000   22.6217   12.8942
   19.0000   23.0868   10.2976
   20.0000   22.1179   15.5296
   21.0000   23.9007   11.3828
   22.0000   21.4591   11.4603
   23.0000   20.5290   13.7468
   24.0000   19.1338   14.0956

6 # time 

33 # number of data points 

    1.0000   23.7614   11.7023
    2.0000   22.1591    9.2057
    3.0000   21.2275   11.0315
    4.0000   22.4944   13.9008
    5.0000   17.3895   15.9502
    6.0000   16.1225   10.4726
    7.0000   17.4640    7.3425
    8.0000    7.1795   11.1061
    9.0000   21.6374    9.9137
   10.0000   21.7119   12.6711
   11.0000   20.7804   15.1304
   12.0000   19.1781   11.9631
   13.0000   19.2899    9.2802
   14.0000   20.2959    8.3114
   15.0000   16.8678    8.5722
   16.0000   16.2716   13.4163
   17.0000   11.6138   16.5837
   18.0000   11.8746   10.1000
   19.0000   11.0921    5.9265
   20.0000   13.0297   13.7144
   21.0000   12.8807    7.4916
   22.0000    9.4525    8.9076
   23.0000    9.7506   12.6711
   24.0000    8.2229   15.2795
   25.0000   14.5948   16.9190
   26.0000   14.8183   15.4658
   27.0000   14.7066   13.1928
   28.0000   13.8495   10.6962
   29.0000   14.5575    8.4977
   30.0000   15.2655    6.9326
   31.0000   11.3157   13.1182
   32.0000    6.4343   12.6711
   33.0000    7.2168    7.9387

9 # time 

53 # time 

    1.0000   41.2498   20.8727
    2.0000   40.1211   17.6478
    3.0000   38.1862   20.7114
    4.0000   40.2017   23.9363
    5.0000   33.9938   28.2899
    6.0000   31.3333   20.7921
    7.0000   33.9132   14.1005
    8.0000   14.6447   22.8882
    9.0000   38.5893   18.8571
   10.0000   38.5086   23.1301
   11.0000   38.0249   26.0325
   12.0000   35.6063   22.4851
   13.0000   35.7675   18.3734
   14.0000   37.6218   16.1966
   15.0000   32.4620   18.1315
   16.0000   32.1395   24.8231
   17.0000   26.2542   30.9504
   18.0000   25.2867   20.8727
   19.0000   27.7054   13.0524
