#Y134-5 
#Leaf 2

6 # number of measuremnts 

0 # time  

7 # number of data points

    1.0000   12.6870    7.3230
    2.0000   11.9346    6.4492
    3.0000   11.8618    7.3473
    4.0000   11.9346    8.2696
    5.0000   11.1336    6.5220
    6.0000   10.6967    7.4929
    7.0000   10.9880    8.2210

2 # time 

13 # number of data points 

    1.0000   16.3646    9.7082
    2.0000   15.4758    8.1972
    3.0000   15.0906    9.6490
    4.0000   15.0314   11.1600
    5.0000   13.4315    7.8120
    6.0000   11.3871    9.6193
    7.0000   12.8685   11.4859
    8.0000   13.7574    9.9156
    9.0000   11.8612    8.1972
   10.0000   12.5130    9.8564
   11.0000   11.5353   11.1600
   12.0000   10.9427   10.4193
   13.0000   11.0316    8.8786

4 # time 

21 # number of data points 

    1.0000   32.5085   14.3068
    2.0000   31.1153   12.3851
    3.0000   30.3947   14.3068
    4.0000   31.2114   16.1804
    5.0000   27.3681   11.5684
    6.0000   21.7472   14.8353
    7.0000   27.7524   17.5736
    8.0000   28.0406   14.7872
    9.0000   23.4287   11.6645
   10.0000   24.5817   14.9794
   11.0000   24.0052   18.2462
   12.0000   20.4021   16.6608
   13.0000   20.6423   12.8656
   14.0000   26.2151   13.2019
   15.0000   26.1190   15.8441
   16.0000   24.4375   17.1412
   17.0000   24.3895   12.8656
   18.0000   21.5070   12.0969
   19.0000   22.5639   13.2499
   20.0000   22.6600   15.7480
   21.0000   22.1796   17.7658

6 # time 

34 # number of data points 

    1.0000   50.6556   19.9083
    2.0000   49.1405   18.0902
    3.0000   48.5344   20.5901
    4.0000   50.1253   22.1810
    5.0000   45.2012   17.1811
    6.0000   34.9742   22.8628
    7.0000   46.5648   24.6052
    8.0000   45.6557   21.7265
    9.0000   40.5801   16.1963
   10.0000   40.7316   22.5598
   11.0000   42.3225   27.0293
   12.0000   35.3530   28.2414
   13.0000   34.2166   17.9387
   14.0000   43.2315   20.2114
   15.0000   43.0800   23.2416
   16.0000   40.2013   25.3627
   17.0000   40.4286   19.6811
   18.0000   36.8681   16.5751
   19.0000   36.9438   20.2871
   20.0000   37.8529   24.3779
   21.0000   39.1407   28.3172
   22.0000   45.5042   19.4538
   23.0000   46.1860   23.3931
   24.0000   43.0043   16.7266
   25.0000   44.5194   25.8930
   26.0000   37.1711   18.1660
   27.0000   37.3984   22.6355
   28.0000   37.9287   26.6506
   29.0000   35.4287   25.1355
   30.0000   34.5197   20.5901
   31.0000   32.2470   19.7568
   32.0000   33.1561   22.1052
   33.0000   33.4591   24.9840
   34.0000   32.2470   26.2718

8 # time 

37 # number of data points 

    1.0000   30.6681   12.4173
    2.0000   29.4475   10.3248
    3.0000   28.4594   12.7079
    4.0000   29.6800   14.5678
    5.0000   25.3208    9.0461
    6.0000   12.7660   13.6960
    7.0000   26.1926   16.9509
    8.0000   25.3208   13.6960
    9.0000   21.3683    7.0118
   10.0000   19.9152   14.1610
   11.0000   22.0658   19.5084
   12.0000   13.6960   21.4265
   13.0000   13.7541    6.7211
   14.0000   22.8796   12.0104
   15.0000   22.4146   15.3816
   16.0000   18.9853   17.4740
   17.0000   20.0896   11.1967
   18.0000   17.2415    6.2561
   19.0000   16.1953   10.7898
   20.0000   16.3116   16.1372
   21.0000   18.1134   21.3102
   22.0000   25.4951   11.4873
   23.0000   25.8439   15.6141
   24.0000   23.4027    7.8836
   25.0000   24.2164   18.4040
   26.0000   16.6603    8.5811
   27.0000   15.8466   13.9285
   28.0000   16.7766   19.3340
   29.0000   13.4635   17.1834
   30.0000   12.7079   10.4411
   31.0000    9.7436    8.2905
   32.0000   10.1504   12.1266
   33.0000   10.2086   16.7184
   34.0000    8.4648   19.1596
   35.0000    7.5349   11.1385
   36.0000    8.0580   13.4635
   37.0000    6.4305   15.5560

13 # time 

37 # number of data points 
    1.0000   45.9216   20.5728
    2.0000   45.0135   18.2116
    3.0000   44.1053   20.7544
    4.0000   45.9216   23.3881
    5.0000   41.9257   16.0320
    6.0000   23.3994   23.9330
    7.0000   43.1063   26.9299
    8.0000   41.4717   22.2075
    9.0000   36.5676   12.6719
   10.0000   34.9330   22.8432
   11.0000   39.3829   31.0166
   12.0000   28.5759   36.9196
   13.0000   24.5800   11.3096
   14.0000   37.6574   19.7555
   15.0000   38.4748   24.1146
   16.0000   34.2973   27.9288
   17.0000   33.1167   17.5759
   18.0000   30.3014   10.7647
   19.0000   28.6667   18.3024
   20.0000   29.5749   26.7482
   21.0000   35.0238   33.7410
   22.0000   41.5625   19.0289
   23.0000   41.7441   24.3870
   24.0000   39.4737   14.3974
   25.0000   41.5625   29.0186
   26.0000   29.3024   13.9433
   27.0000   28.0310   22.8432
   28.0000   31.2095   31.3798
   29.0000   25.3974   29.8360
   30.0000   23.1270   17.7575
   31.0000   17.9505   12.7627
   32.0000   18.0413   20.9361
   33.0000   19.1311   29.1094
   34.0000   18.4954   36.3747
   35.0000   12.3200   19.3014
   36.0000   13.3189   24.2054
   37.0000   11.0485   29.8360

