#Y134-16    
#Leaf 2

5 # number of measuremnts 

0 # time  

9 # number of data points

    1.0000   17.4152   10.5106
    2.0000   16.3758   11.6985
    3.0000   15.1631   11.8717
    4.0000   16.1035    9.9909
    5.0000   15.5838    8.4813
    6.0000   14.2227    8.5060
    7.0000   14.8414    9.8919
    8.0000   14.1237   11.2283
    9.0000   13.5545    9.6692

2 # time 

32 # number of data points 

    1.0000   27.9153   12.4290
    2.0000   26.8839   14.2935
    3.0000   24.8607   15.1266
    4.0000   24.9401   11.7150
    5.0000   25.0591    9.5331
    6.0000   21.6474    8.9777
    7.0000   22.0045   11.9133
    8.0000   21.3697   15.0869
    9.0000   18.1564   11.7150
   10.0000   27.3203   10.9612
   11.0000   26.1302   10.0885
   12.0000   26.5665   11.3579
   13.0000   26.4872   12.9051
   14.0000   26.0508   14.8489
   15.0000   24.9401   13.2621
   16.0000   25.0987   10.4455
   17.0000   23.1549    9.0967
   18.0000   23.8293   10.4059
   19.0000   23.7103   11.7943
   20.0000   23.1549   13.6588
   21.0000   23.2739   15.5233
   22.0000   21.8458   13.3811
   23.0000   22.2425   10.2472
   24.0000   19.2672    9.1364
   25.0000   19.9416   10.1678
   26.0000   20.0606   11.6356
   27.0000   19.5846   13.3018
   28.0000   18.3945   14.4919
   29.0000   16.5696   13.2621
   30.0000   17.7201   13.0241
   31.0000   17.7597   10.4852
   32.0000   16.8473   11.6753

4 # time 

51 # number of data points 

    1.0000   42.1478   18.1800
    2.0000   41.4777   20.1387
    3.0000   39.1067   21.8396
    4.0000   38.6944   17.8192
    5.0000   39.4160   14.7781
    6.0000   35.3956   14.1081
    7.0000   35.1894   18.1800
    8.0000   34.9317   22.8705
    9.0000   29.2619   18.2831
   10.0000   41.8385   16.6852
   11.0000   40.6530   15.4482
   12.0000   40.4984   17.4069
   13.0000   40.2922   19.0047
   14.0000   40.3953   21.1695
   15.0000   38.7459   19.6232
   16.0000   39.0552   16.2729
   17.0000   37.5604   14.2627
   18.0000   37.3027   16.3760
   19.0000   37.3027   17.9223
   20.0000   36.9934   20.3448
   21.0000   37.3027   22.5612
   22.0000   35.2410   20.0871
   23.0000   35.1894   16.1183
   24.0000   31.7360   13.4895
   25.0000   31.8391   15.6028
   26.0000   32.0453   18.0254
   27.0000   31.6329   20.4995
   28.0000   30.4989   23.9014
   29.0000   27.0455   22.7674
   30.0000   28.4887   20.7056
   31.0000   28.2310   16.2729
   32.0000   26.1693   18.6439
   33.0000   33.5400   13.6442
   34.0000   33.3854   15.2420
   35.0000   33.5400   17.8707
   36.0000   33.3854   19.9325
   37.0000   32.9730   21.9942
   38.0000   32.8700   23.8498
   39.0000   28.5918   23.7467
   40.0000   29.3134   22.1489
   41.0000   30.3443   20.2418
   42.0000   30.4989   18.0254
   43.0000   30.2928   16.4275
   44.0000   30.1381   14.5720
   45.0000   29.9320   13.5926
   46.0000   28.0764   14.3142
   47.0000   25.2415   16.4275
   48.0000   25.9631   17.3038
   49.0000   25.9631   19.9840
   50.0000   25.1384   21.0149
   51.0000   24.5199   18.5924

7 # time 

64 # number of data points 

    1.0000   35.3710   14.9444
    2.0000   34.3881   17.1238
    3.0000   31.0976   20.0297
    4.0000   31.2686   14.1752
    5.0000   32.3796    9.5599
    6.0000   27.5080    7.7224
    7.0000   26.4397   14.6452
    8.0000   27.3798   21.9954
    9.0000   17.6793   15.1153
   10.0000   35.2000   12.8077
   11.0000   33.9180   10.8847
   12.0000   33.7471   13.9615
   13.0000   33.1916   16.0554
   14.0000   33.2343   18.7476
   15.0000   31.1404   16.7819
   16.0000   31.8241   11.9958
   17.0000   30.3712    8.1925
   18.0000   29.7302   12.1240
   19.0000   29.2173   14.5598
   20.0000   28.6618   17.9357
   21.0000   29.6447   21.2262
   22.0000   26.6961   18.0212
   23.0000   26.9097   11.6539
   24.0000   24.3030    6.0558
   25.0000   22.8073   11.0129
   26.0000   22.5082   14.6880
   27.0000   22.3373   18.3203
   28.0000   22.2091   23.2347
   29.0000   14.6452   24.6021
   30.0000   16.7819   20.0297
   31.0000   16.9101   10.5856
   32.0000   11.4830   15.2862
   33.0000   26.0123    6.6113
   34.0000   25.1149   10.7992
   35.0000   24.4312   14.6025
   36.0000   25.0295   17.9784
   37.0000   24.8585   20.5425
   38.0000   25.1149   23.8757
   39.0000   18.3203   25.3286
   40.0000   19.1322   22.2518
   41.0000   20.2861   18.5340
   42.0000   19.6878   14.1752
   43.0000   20.3288   12.2522
   44.0000   20.7561    8.6625
   45.0000   21.3971    4.9447
   46.0000   18.4058    4.9447
   47.0000   11.9103    6.6541
   48.0000   11.6539   11.3120
   49.0000   12.0812   19.3459
   50.0000   10.1155   22.5509
   51.0000    7.7224   15.1153
   52.0000   16.3546   15.3717
   53.0000   12.2094   23.8757
   54.0000   13.7906   21.3544
   55.0000   14.2606   17.2092
   56.0000   14.1752   12.8077
   57.0000   14.3034    8.8335
   58.0000   14.6452    5.1157
   59.0000    8.6198    9.3890
   60.0000    9.4745   13.1923
   61.0000    9.3035   17.4656
   62.0000    7.6797   19.3032
   63.0000    6.9532   16.7819
   64.0000    7.1241   13.0641

11 # time 

64 # number of data points  

    1.0000   47.8979   22.5157
    2.0000   47.8979   24.6866
    3.0000   45.5600   27.3584
    4.0000   44.8086   22.3487
    5.0000   46.8124   18.4245
    6.0000   42.7212   15.7527
    7.0000   40.4669   22.8497
    8.0000   40.8009   29.6127
    9.0000   30.0302   23.2672
   10.0000   48.3153   20.9293
   11.0000   47.8979   19.3429
   12.0000   46.8124   21.9313
   13.0000   46.5620   23.7681
   14.0000   47.3134   25.9390
   15.0000   45.2261   24.6031
   16.0000   45.8940   20.5954
   17.0000   45.1426   17.1721
   18.0000   44.0571   20.5119
   19.0000   43.2222   22.5992
   20.0000   42.9717   25.8555
   21.0000   43.9736   28.3603
   22.0000   40.7174   25.6885
   23.0000   41.6358   19.6769
   24.0000   38.2961   12.9139
   25.0000   35.5408   18.2575
   26.0000   36.1252   22.7662
   27.0000   34.9563   26.9409
   28.0000   35.2903   32.3680
   29.0000   26.6904   36.2922
   30.0000   28.7778   29.6962
   31.0000   29.3622   17.5061
   32.0000   20.6788   23.1837
   33.0000   40.3834   14.4168
   34.0000   38.6300   18.1740
   35.0000   38.2961   22.2652
   36.0000   37.3776   26.1894
   37.0000   36.9602   29.3622
   38.0000   37.9621   32.3680
   39.0000   31.1991   35.7912
   40.0000   32.0340   31.9505
   41.0000   32.7020   27.2749
   42.0000   32.6185   22.0982
   43.0000   33.2029   19.7604
   44.0000   34.0379   15.5022
   45.0000   35.6243   11.5780
   46.0000   32.7020   10.7431
   47.0000   24.6866   10.4091
   48.0000   22.5157   17.0051
   49.0000   21.5138   29.4457
   50.0000   19.7604   34.8728
   51.0000   13.1644   22.4322
   52.0000   28.2768   23.2672
   53.0000   23.3507   36.0417
   54.0000   25.1875   31.5331
   55.0000   24.9370   25.6050
   56.0000   25.4380   19.7604
   57.0000   26.6069   14.5838
   58.0000   28.5273    9.6577
   59.0000   18.6750   13.1644
   60.0000   18.3410   19.1760
   61.0000   16.6711   26.3564
   62.0000   14.4168   30.8651
   63.0000   11.9955   26.6904
   64.0000   13.5819   17.6731
